Timeline Trace
Generated on: 2021-05-07 04:02:52
Msec since Epoch: 1620360172466
Profiled application: python3.6
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
805.872642,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
805.901603,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
805.907912,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
805.91133,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
805.919698,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
805.923052,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
805.926703,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
805.929624,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
805.934445,clGetPlatformInfo|General,START,,,,,,,,,,,4,
805.937884,clGetPlatformInfo|General,END,,,,,,,,,,,4,
805.940891,clGetPlatformInfo|General,START,,,,,,,,,,,5,
805.943936,clGetPlatformInfo|General,END,,,,,,,,,,,5,
805.947229,clGetPlatformInfo|General,START,,,,,,,,,,,6,
805.950313,clGetPlatformInfo|General,END,,,,,,,,,,,6,
805.953155,clGetPlatformInfo|General,START,,,,,,,,,,,7,
805.955979,clGetPlatformInfo|General,END,,,,,,,,,,,7,
805.958822,clGetPlatformInfo|General,START,,,,,,,,,,,8,
805.961993,clGetPlatformInfo|General,END,,,,,,,,,,,8,
805.964786,clGetPlatformInfo|General,START,,,,,,,,,,,9,
805.967642,clGetPlatformInfo|General,END,,,,,,,,,,,9,
805.970477,clGetPlatformInfo|General,START,,,,,,,,,,,10,
805.973436,clGetPlatformInfo|General,END,,,,,,,,,,,10,
805.976261,clGetPlatformInfo|General,START,,,,,,,,,,,11,
805.979067,clGetPlatformInfo|General,END,,,,,,,,,,,11,
805.981894,clGetPlatformInfo|General,START,,,,,,,,,,,12,
805.984954,clGetPlatformInfo|General,END,,,,,,,,,,,12,
805.987736,clGetPlatformInfo|General,START,,,,,,,,,,,13,
805.990534,clGetPlatformInfo|General,END,,,,,,,,,,,13,
805.993305,clGetPlatformInfo|General,START,,,,,,,,,,,14,
805.996123,clGetPlatformInfo|General,END,,,,,,,,,,,14,
805.998884,clGetPlatformInfo|General,START,,,,,,,,,,,15,
806.0028,clGetPlatformInfo|General,END,,,,,,,,,,,15,
806.020366,clGetPlatformInfo|General,START,,,,,,,,,,,16,
806.023643,clGetPlatformInfo|General,END,,,,,,,,,,,16,
806.028545,clGetPlatformInfo|General,START,,,,,,,,,,,17,
806.031468,clGetPlatformInfo|General,END,,,,,,,,,,,17,
806.047627,clGetDeviceIDs|General,START,,,,,,,,,,,18,
806.052892,clGetDeviceIDs|General,END,,,,,,,,,,,18,
806.056571,clGetDeviceIDs|General,START,,,,,,,,,,,19,
806.059879,clGetDeviceIDs|General,END,,,,,,,,,,,19,
806.067081,clRetainDevice|General,START,,,,,,,,,,,20,
806.070622,clRetainDevice|General,END,,,,,,,,,,,20,
806.07487,clRetainDevice|General,START,,,,,,,,,,,21,
806.078077,clRetainDevice|General,END,,,,,,,,,,,21,
806.203633,clCreateContext|General,START,,,,,,,,,,,22,
806.257145,clCreateContext|General,END,,,,,,,,,,,22,
806.264695,clCreateCommandQueue|General,START,,,,,,,,,,,23,
806.274798,clCreateCommandQueue|General,END,,,,,,,,,,,23,
806.28349,clCreateProgramWithBinary|General,START,,,,,,,,,,,24,
1843.079657,clCreateProgramWithBinary|General,END,,,,,,,,,,,24,
1843.110202,clCreateBuffer|General,START,,,,,,,,,,,25,
1843.124312,clCreateBuffer|General,END,,,,,,,,,,,25,
1843.127907,clCreateBuffer|General,START,,,,,,,,,,,26,
1843.131802,clCreateBuffer|General,END,,,,,,,,,,,26,
1843.135062,clCreateBuffer|General,START,,,,,,,,,,,27,
1843.138418,clCreateBuffer|General,END,,,,,,,,,,,27,
1843.144965,clCreateKernel|General,START,,,,,,,,,,,28,
1844.013842,clCreateKernel|General,END,,,,,,,,,,,28,
1844.021627,clSetKernelArg|General,START,,,,,,,,,,,29,
