Timeline Trace
Generated on: 2021-05-07 02:24:17
Msec since Epoch: 1620354257578
Profiled application: python3.6
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
3.917477,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
3.945265,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
3.951179,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
3.954433,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
3.963154,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
3.966177,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
3.969296,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
3.97186,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
3.97674,clGetPlatformInfo|General,START,,,,,,,,,,,4,
3.980007,clGetPlatformInfo|General,END,,,,,,,,,,,4,
3.982868,clGetPlatformInfo|General,START,,,,,,,,,,,5,
3.985737,clGetPlatformInfo|General,END,,,,,,,,,,,5,
3.988619,clGetPlatformInfo|General,START,,,,,,,,,,,6,
3.991375,clGetPlatformInfo|General,END,,,,,,,,,,,6,
3.994003,clGetPlatformInfo|General,START,,,,,,,,,,,7,
3.996597,clGetPlatformInfo|General,END,,,,,,,,,,,7,
3.999182,clGetPlatformInfo|General,START,,,,,,,,,,,8,
4.001834,clGetPlatformInfo|General,END,,,,,,,,,,,8,
4.004398,clGetPlatformInfo|General,START,,,,,,,,,,,9,
4.007078,clGetPlatformInfo|General,END,,,,,,,,,,,9,
4.009646,clGetPlatformInfo|General,START,,,,,,,,,,,10,
4.012309,clGetPlatformInfo|General,END,,,,,,,,,,,10,
4.014939,clGetPlatformInfo|General,START,,,,,,,,,,,11,
4.017573,clGetPlatformInfo|General,END,,,,,,,,,,,11,
4.020216,clGetPlatformInfo|General,START,,,,,,,,,,,12,
4.023038,clGetPlatformInfo|General,END,,,,,,,,,,,12,
4.025676,clGetPlatformInfo|General,START,,,,,,,,,,,13,
4.028281,clGetPlatformInfo|General,END,,,,,,,,,,,13,
4.030878,clGetPlatformInfo|General,START,,,,,,,,,,,14,
4.033476,clGetPlatformInfo|General,END,,,,,,,,,,,14,
4.036067,clGetPlatformInfo|General,START,,,,,,,,,,,15,
4.038668,clGetPlatformInfo|General,END,,,,,,,,,,,15,
4.051231,clGetPlatformInfo|General,START,,,,,,,,,,,16,
4.05424,clGetPlatformInfo|General,END,,,,,,,,,,,16,
4.058403,clGetPlatformInfo|General,START,,,,,,,,,,,17,
4.061025,clGetPlatformInfo|General,END,,,,,,,,,,,17,
4.07668,clGetDeviceIDs|General,START,,,,,,,,,,,18,
4.082063,clGetDeviceIDs|General,END,,,,,,,,,,,18,
4.085764,clGetDeviceIDs|General,START,,,,,,,,,,,19,
4.088795,clGetDeviceIDs|General,END,,,,,,,,,,,19,
4.095153,clRetainDevice|General,START,,,,,,,,,,,20,
4.098523,clRetainDevice|General,END,,,,,,,,,,,20,
4.102365,clRetainDevice|General,START,,,,,,,,,,,21,
4.105143,clRetainDevice|General,END,,,,,,,,,,,21,
Footer,begin
Project,,
Stall profiling,false,
Target,Software Emulation,
Platform,,
Device,xilinx:pcie-hw-em:7v3:1.0-0,begin
DDR Banks,begin
Bank,0,0X000000000
DDR Banks,end
Device,xilinx:pcie-hw-em:7v3:1.0-0,end
Footer,end

